,text,label,group,IF,TRAK
30,all them big ass niggers on the field and the kickers did all the work,0,African,-0.042365853,-0.0007057
31,<user> a bunch of little ghetto bastard children with no family structure,0,African,1.0916189,5.19e-05
32,<user> <user> was gon insult but its not my field white system in south africa has destroyed the black mind,0,African,0.44910568,-2.867e-05
33,<user> wtf 🤣 🤣 🤣 🤣 🤣 everyhting is ghetto trust me,0,African,0.9876901,-4.405e-05
34,<user> humor negro 😂 😂 😂 😂 😂,0,African,0.3341859,2.86e-06
35,idk why these negros with children keep trying to talk to me and get mad when i say i ’ m not interested bc they have kids lol,0,African,-0.08911371,0.0001239
36,<user> my wife visited an old co worker today that recently adopted a black baby she told my wife that while she gets some awkward looks from whites all of her bad experiences have been with black women making strange comments i found that interesting,0,African,0.33560932,-1.12e-05
37,you all want comedians to keep their edge and stay unfiltered because you all are not the demographic they are talking shit about it just the lgbt community if a white comedian was calling you all monkeys and niggers you all would have a fit cut it out,0,African,-18.226107,-0.0001733
38,the most ghetto shit i did was post my relationship status and a couples picture <number> years ago on facebook,0,African,0.7107347,6.807e-05
39,<user> please excuse the language i think the word nigger does not pertain to every black person if i have to hear it be used in this shit crap they call music nowadays it open for use,0,African,-2.5335708,0.0002391
40,ya niggas made amiri look dirty ya make everything dirty i hate you dirty mother fuckers ya make luxury items look dirty stick to white tees,0,African,-2.6072316,-0.0002203
41,funding myself is so ghetto i need a sugar daddy 🤕,0,African,4.4464116,4.09e-05
42,were the founding fathers blacks and hispanics and asians can you tell me because i am color blind,0,African,0.92708606,-5.996e-05
43,black republicans have been called uncle toms black trump supporters are being called coons and even those who did not vote for trump are ostracized as coons for simply meeting with him no amount of appeasing will change that i say embrace it,0,African,0.32949734,7.64e-05
44,simple solution enforces laws not jared wyand you have had <number> years to solve it under black jesus and it got worse all black economic data is down under his presidency so maybe stfu <user> gun violence is a public health crisis martial law will not fix violence in chicago,0,African,-0.73878175,-0.0001609
45,north korea could be a much better place if they just had diversity we need to deliver them some syrian refugees african migrants immediately,0,African,0.41607943,1.574e-05
46,<user> “ bitches doing blackface ”,0,African,4.3172994,-5.4e-06
47,<user> i just seen u say u want a neck tat but a portrait ghetto alright young m a,0,African,1.0666041,4.65e-05
48,looks at avi you think white people not going to call you a nigger,0,African,-2.491365,0.0004916
49,black person hey tha white moderates shh you are adding fuel to the fire what would rosa do,0,African,0.26223704,-6.61e-05
50,look how she talk she sexy i like when they pretty and ghetto type of bitch that do not even say hello,0,African,1.2665825,0.0001851
51,get a load of that nigger,0,African,-4.2817173,-0.0001509
52,a million thumbs up we need museums of victims there have been so many as is we do not even have many online memorials for white victims of black violence the memorial pages for victims of illegal alien crime are very simplistic wichita massacre victims deserve a monument,0,African,-0.9996732,-0.00010127
53,i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone,1,African,-0.17928573,-2.396e-05
54,good reasons why not to mudshark,1,African,0.11254269,-3.093e-05
55,lol i forgot to upload my image man but hey i am no nigger or sand nigger i am still better than them atleast my country is not relied on usa eu or un for donations like apefrica and middle east india is a independent state,1,African,0.66616285,2.22e-05
56,except you are wrong there as usual whoisshooting com among other sites evince the niggery in your kike narrative btw the majority of pedos are black too fbi gov ucrs crimes against children families,1,African,0.17324586,-2.86e-06
57,it ll probably be some fat negress in a nursing home anyways so fuck em both,1,African,0.060596332,-2.1e-05
58,meet the jew brainwashed nigger who brought down the nfl by trying to bring down whitey maga white genocide alt right jewish war on whites nfl kaepernick,1,African,0.13127236,-8.17e-06
59,iow a ghetto nigger bitch who got lucky,1,African,0.27136466,2.1e-05
60,coon cheese holy gawds the progressives here would melt in the grocery aisle,1,African,0.16785446,-1.29e-05
61,rich nigger should have just signed and payed his fucking ticket instead of talking racist shit,1,African,0.20010066,2.86e-06
62,i hate a nigga with bitch ass tendencies lmfaoo u just got a extra leg u fuckin peon,1,African,-0.033891764,-1.52e-05
63,blacks in 1 8 0 0 lived better under white slavery than whites live under jew slavery today,1,African,-6.5276318,-0.0001145
64,do not give money to foundations you will be paying for rich blacks to have the delight of white women,1,African,-0.4229082,-2.193e-05
65,no way that another black guy murdering another white person that can not be i mean to say that is a hate crime would be racists or to even say over <number> plus percent black children do not have fathers and that a crime problem would be a hate crime would not it,1,African,4.5116,6.104e-05
66,niggas really let idubbz say nigger faggot and ain t even care,1,African,0.029417716,3.59e-05
67,i forgot how much talcum xx lies they turned their backs at the mayor for being at the g20 right after the cops execution and missing the swearing in of new cops some turned their backs at the commissioner too these black niggers create racism so they can feel important,1,African,0.26395896,1.407e-05
68,look a stupid nigger posting directly to twitter gabfam even knows that a fucking mark of the retard,1,African,0.22295606,2.26e-06
69,i take it you are a nigger then you have thrown no one anywhere and it looks like the muzrats have turned the uk into another shithole try to keep up,1,African,0.21753734,2.5e-06
70,if u freinds wit a jew or nigger den u ain t no freind of mine,1,African,0.053259037,1.645e-05
71,im the victim here i could be like a alt right rosa parks only i was really discriminated against im not just some whining nigger 😡,1,African,0.23075677,2.37e-05
72,i checked my genes and i am <percent> white can i say im just from one nation no but my race is pure would i change my mind about them if i had yid or neger dna i dont think so i hate ideology more then skin color,1,African,0.41731954,-2e-05
73,i stand with brianna brochu because being forced to live with some loud affirmative action sheboon will make even the best of us do crazy things university of hartford justice for jazzy,1,African,0.16567717,-1.2e-06
74,<user> those niggers get paid,1,African,0.09470992,-1.764e-05
75,and yet you continue to associate with people you deem nigger faggots,1,African,0.12314003,1.17e-05
76,no she really loved the ugly nigger lol,1,African,0.2892238,5.25e-06
77,niggas fucking off but want they bitch perfect,1,African,-0.03547916,-7.6e-06
78,he is correct though only because such folk are more intelligent than dark skinned persons but can whites claim to be discriminated against by the orientals and other asians who are better at mathematics than us,1,African,-1.8194412,9.54e-06
79,what does your crystal ball tell you about listening to nigger music,1,African,0.25784242,-2.015e-05
80,lol fuck no let that shit spread around africa and kill as many nigger apes as possible,1,African,0.14159726,1.93e-05
81,<user> nigger nigger nigger,1,African,0.2559154,-1.216e-05
82,<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops,1,African,0.10845062,1.53e-05
83,chicago like all the niggers you do not want have guns do,1,African,0.17463805,1.12e-05
84,<user> <user> you can also decide not to like the niggeress too 🤷 🏽 ‍ ♀️,1,African,0.27413785,9.2e-06
85,seems as if you were right no more nigger or sandnigger bastards,1,African,0.042904668,1.95e-05
86,i thought yemen is white people isnt it the moslems are killing them because they are not moslem i mean fuck the muzzies and jews and double fuck the niggers but if they are white non moslems or jews then its not a good thing for them to starve,1,African,0.188599,3.8e-06
87,another ghetto hell hag who is deeply upset god punished her to live as an ape give her a banana,1,African,0.03768164,4.86e-05
88,half these hoes don ’ t care about they nigga they just hungry and growing out they old clothes,1,African,-0.04932634,-1.83e-05
89,so why is it gay pride month and black history month do the gays have no history and the blacks have no pride or the other way around,1,African,1.1387299,-2.48e-05
90,niggerdom is a deadly disease please send thoughts and prayers,1,African,0.21372949,1.92e-05
91,nah we are pretty fucking far from even but the scales will be closer to balance if you live a long enough in the boomer depository for your nigger caretaker to turn your asshole inside out in between raiding your meds and personal effects enjoy your golden years faggot bobo will,1,African,0.3046394,-1.746e-05
92,my job is not to entertain you that nigger <number> iq can not really be helped,1,African,0.12731802,6.26e-06
93,what is christianity but spiritual democracy who to say that aborted pail nigger is just as good and valid as you are god says the christian,1,African,0.057244606,3.9e-06
94,spic nigger chink are just three examples,1,African,-0.12542298,2.29e-05
95,sad story to be sure on a side note some guys should not ever wear tank tops how does any take that spaghetti armed guy serious dress like a white man that nigger shit unless you are in the gym,1,African,0.09025132,-3.1e-06
96,police is busy chasing after mean posts of brits protesting their replacement online but has no incentive to go after real criminals child rapists narco dealers nigger gangs violent jihadis,1,African,0.020815212,-1.55e-05
97,all you talk about is nigger cocks me thinks you suck and get fucked by nigger cocks regularly closeted homo,1,African,0.028537042,-4.7e-06
98,how dare them niggers swat my fortnite crush pokimaine,1,African,0.23631126,2.2e-05
99,entlek percy tau was too much for psl niggers,1,African,0.15664719,1.687e-05
100,the sheboon hit him first and niggers can not drive anyway and have no manners or sense of helping anyone but themselves but the second you call them what they are it your fault whitey,1,African,0.18575044,-1.31e-05
101,the faggot shaun king larps as a nigger but he just a two bob cunt seems totally acceptable to me,1,African,0.06909525,-1.98e-05
102,you are going to die alone surrounded by shitskin nurses who steal your pain medicine it what you deserve boomer nigger,1,African,0.29259324,5.4e-06
103,from twitter i will allow a white person to call jr smith a nigger tonight it probably not a great thing i care so much about something jr smith can screw up in a few seconds,1,African,0.29534575,-7.4e-06
104,taking down these knotless braids ghetto ass fuck i quit 😂,1,African,0.37377536,2.45e-05
105,any nigga that allow they self to beef with a female is a faggot,1,African,0.20614411,-1.955e-05
106,hey icecube sometimes you sound like a ghetto nigger parasite whiny bitch fuck you nigger suck it bitch,1,African,0.11241214,-1.174e-05
107,that britain new fab four then a jew a nigger a ginger a bald ganch groovy,1,African,0.5370479,9.2e-06
108,for me it every month i refuse to acknowledge nigger pride or any if the others just white pride month,1,African,0.021198941,-6.6e-06
109,a country so racist that blacks and browns are ignoring immigration laws to get here get bent theron,1,African,0.07421697,1.08e-05
110,you all niggers are cancers,1,African,0.25505263,1.62e-05
111,every time <user> bitch ass say the democrats all i hear is the niggers,1,African,-0.051465973,-6.2e-06
112,we need nigger control,1,African,0.581623,-1.1e-05
113,<user> watching trumps speech right now and all he is talking about is giving more free shit to niggers yay another nigger tax for all whites,1,African,0.19531061,2.56e-06
114,the nigger football league is now gonna have some prancing fairies for cheerleaders hahahhahaha have not watched a game in years and never will again they can take a knee and fuck off,1,African,0.21483293,-1.144e-05
115,a reply that chump dump change obama nigger on the bongos exploded buildings murdering people as leader of a black panther group bruce kenneway bishop with christ and mother mary 🍉 🍍 🍎 🥑 🥜 🥒 🍒 🌽 🥕 🍐 🥔 🍏 🍇 🍔 🍟 🍕 🍕 🌭 🌮 🥞 🧀 🍗 🥙 🌯 <angel> 🏞 ️ 🗽 ⛪ 🕌 🎢 🚲 🚜 ⛽ 🚀 🛫 🛩 ️ 🚁 ⏲️ ☀️ 🌝 🌞 ⛱️ 🌟 🌤 ️,1,African,0.2423099,-4.137e-05
116,watching a goofy white kid and a half nigger fuck something up is sad,1,African,-0.033743493,9.54e-06
117,i ’ m happy i came up around whites imagine being raised in the ghetto,1,African,-0.2635405,-4.94e-05
118,check out the rockfish report on niggermania they keep up to date on all the bobbing coons nationwide,1,African,0.18016885,1.6e-05
119,he stopped arguing when he realized i am not just some dumb nigger pothead i do this debate shit 😂 💪 🏾,1,African,0.24942517,9.3e-06
120,it been shown by men smarter than me that sending free shit into ghettoes only makes the problem worse just because that ghetto is continent sized why would the principle change giving people money they did not earn only breeds more dependency sink or swim i care not,1,African,0.021170504,-1.14e-05
121,<user> where your ravens stuff trash ass niggers,1,African,0.13777839,1.86e-05
122,i doubt he travelled anywhere just to rape anyone thats just how muslims are especially the muslim niggers they just rape whoever whenever they can wherever they happen to be even a pony at a childrens zoo in germany seriously look it up 🙄,1,African,0.25096828,-1e-06
123,remeber when you could say retard faggot and nigger as a joke and no one would get upset good times,1,African,0.21334265,1.025e-05
124,<user> snerfbucket ima try call me nigger,1,African,0.24750054,2.41e-05
125,if you like niggers so much change your name to walkerifuckniggers begone nigger lover,1,African,0.23398697,9.06e-06
126,oink oink oink infront of dem nigglets boy,1,African,0.09951599,2.59e-05
127,maybe it a sign from god that anglin really is a nigger,1,African,0.07168889,-1.884e-05
128,unreal i grew up in darwin and ive seen the results of this similar practice by the coons there wow,1,African,-0.19405884,2.64e-05
129,when i first got on here and said i hate trump i was considered a troll but people who yell about hating niggers are not trolls yeah ok,1,African,0.12836872,2.1e-05
130,my ignorance proves i know nothing about this nigger comic i am good with that,1,African,0.16679162,2.754e-05
131,a kike kissing a nigger seems right kikes keep them as pets,1,African,0.07158163,2.5e-06
132,murray is a soft spoken middle of the road pozzed cuck who wrote one book about a large topic that had one single chapter covering the depth of nigger stupidity as probable by hard numbers one chapter and he been considered grand wizard of kk by left ever since,1,African,0.23811103,-2.58e-05
133,or velcro headed shit skin darkies 🤔,1,African,0.22936195,1.013e-05
134,sorry moving to se rural ok soon an area where no niggers or other pocs except a few choctaw no bad gun laws low taxes hardly any people except a few rednecks plenty of fish hogs and deer no one gaf what you do,1,African,0.05932496,-1.466e-05
135,tnb what else can we expect from the ghetto monkeys,1,African,0.30476832,6.56e-06
136,crazy oh no she is black that ishwat they do <number> of times everyday ghetto lotto you can not win if you do not play,1,African,-0.41859064,-3.29e-05
137,that unfortunate the dancing jiggaboo with the tambourine was pretty entertaining,1,African,0.14364567,-4.41e-05
138,what you support obvious fed niggershill kike wignat pipebombers good,1,African,0.19468667,-1.13e-05
139,can you all niggers stop asking if i am sick that just how i look wali idurdkdieej,1,African,0.1580158,7.45e-06
140,the gunman hiding i hope they catch him my thoughts go out to the victims also who ever says that me is a cia nigger,1,African,0.27660254,-3.8e-06
141,<user> <user> keep that same energy behind bars you stupid nigger,1,African,0.31930906,-8.05e-06
142,it just going to go from one useless nigger to the next maybe the new one will have western backing and we can import refugees interesting to note that trump has been posting about game hunting in apefrica no doubt there behind the scene talks with the coup attempt,1,African,0.19467126,-6.44e-06
143,how the fuck did that nigger secured this my head is so hot,1,African,0.15580931,-1.097e-05
144,where terry a davis when we need him to expose this whiny rat as a vicious cia nigger attemting to bring communism in america,1,African,0.18642098,-1.48e-05
145,we need to stop all id to the nigger nations le the sub humans fend for themselves let mother nature cull the feral herds nothing better than niggers getting rid of niggers,1,African,0.28460532,-1.013e-05
146,all jokes to the front niggas be queer,1,African,0.18543446,-3.78e-05
147,weinstein amazon vox gq the left is eating itself right now the deathmatch du jour is lecherous kikes versus cat ladies we need to meme a race war between nigs and beaners for <number>,1,African,0.2002449,2.27e-05
148,oy vey goy nordic resistance movement has too many white people in it they need a little diversity maybe a few based niggers and some based dune coons they need a few heeb lawyers too,1,African,0.10760367,-6.5e-06
149,we wuz jesus too tariq racist retarded nigger nasheed,1,African,0.21220839,-1.77e-05
150,fuck a blunt nigga need a backwood 🤦 🏽 ‍ ♂ ️,1,African,0.2709357,2.07e-05
151,if you think idris elba is british and richard spencer is not you are probably a stupid nigger incapable of realizing what british people are,1,African,0.112259015,-6.3e-06
152,i tried to watch american ninja warrior but i could not figure out if one of the girls was a nigger or not so i just changed the channel 🙄,1,African,0.11291608,5.2e-06
153,yes mam it is sad our own kind race hate us i have always said it trump is not for the southern people he has not called out the blm only pro white groups get ready the hurt is coming and nigger pwr is on the rise,1,African,0.14363673,-2.76e-05
154,<user> delete this nigger,1,African,0.33537364,-2.4e-06
155,sounds like a sham hit piece meh im giving a thumbs down and a since it came from a taco negro it already is suspicious i do wonder did he do it out of a need to virtue signal or is he getting a check from the jews,1,African,0.061465185,1.65e-05
156,this shit make your skin crawl they just trying to make a nigger elite,1,African,0.07491948,-2.28e-05
157,loulou lou loulou lou <number> minutes ago they are all felons you can take the man out of the ghetto but can not take the ghetto out of the man ﻿,1,African,0.044293076,-2.533e-05
158,that is some black lives matter dumb asses disrupting a college classroom by jumping on the desks and chanting some retarded tripe about racism blah blah blah,1,African,0.0916995,-4.53e-06
159,please blacks could not even invent the wheel nor domesticate any animals they were literally <number> years behind whites asians and hispanics,1,African,0.0769981,-4.387e-05
160,of course also noticing it mainly leftist whamen crying the loudest <number> shades of nigger migrant rape fantasies,1,African,0.18414557,3.6e-07
161,you mean red pills like it ok to fuck half nigger apes and an ethnostate can not work in america because muh magic dirt that not a red pill cuck faggot that jew bullshit that she been pushing from the beginning if you think that helpful kys,1,African,0.1636297,1.3e-05
162,please revive i can not guarantee your guy watch out here doing space shit whilst i am making twitter bots who nut niggers,1,African,0.21721202,1.377e-05
163,dna tests can be defined whoever scientists decide they are because markers are just atp combos i e nothing like kike or irish written on them it all about some opinion of history also anyone can convert to phariseeism and <number> <number> of israel is russian for example could just be anti nig,1,African,-0.27050868,-3.6e-06
164,one of the stupidest things a plug can do is skimp a nigga that knows where he lives ima knock you off every time,1,African,0.03862922,1.07e-05
165,bad sirop on the fuck with us poppin this nigger,1,African,0.24178404,-2.32e-05
166,i hate mlk and every civil rights faggot february the one month coons visit the library bunch o non reading shits,1,African,0.1816662,-2.736e-05
167,i fully support a race war to kill all kikes and niggers,1,African,0.25592545,1.7e-05
168,nope negro the jews main sponsored group her negro comrades would not have to turn in their assault rifles because they did not get them legally in the first place,1,African,1.9766841,0.0001495
169,my family owned <number> but we also fought for the union i really wish they would make a real proposal for reparations at some point i would not be able to contain myself if once everything was calculated every nigger got like <money> 😂,1,African,0.15902834,4.5e-06
170,my fellow whites i have terrible news jews and niggers still exist,1,African,0.021346807,2.7e-06
171,do u guys think the make a wish foundation would grant me my wish to call kim kardashians baby a nigger right to it face before i die ✝️ 😇 ✝️ 😇,1,African,0.3879981,-4.62e-05
172,mormons came one gay nigger away from having the presidency prairie jews must be stopped,1,African,0.09330447,1.05e-05
173,affirmattive cannot rely on the police or government they are positively discriminating to these fucking wogs and moslem inbreeds,1,African,0.08211125,1.067e-05
174,gab fam leaky weiner speak freely if you dont think nigger obama will pardon that crooked old lady you are kidding yourself classifiedinfomatters,1,African,0.20502199,-6.26e-06
175,just sit and fucking listen <number> roy moore will win <number> msm will proclaim the end of the republican party <number> a nigger will get shot by a white cop or someone will claim to be sodomized by an old jew the world will go on,1,African,0.30236715,-2.05e-05
176,but things are evolving i think they would now look what those blm sheboons did to bernie,1,African,0.3901427,2.086e-05
177,what does a man of impeccable style and grace do if a dead nigger appears on his lawn the only acceptable answer is firing up the wood chipper,1,African,0.114361994,-2.563e-05
178,sail foam as in yo mayne ah beez finna axe dat muhfuggin nigger whaa ahh kaynt git me mah new sail foam muhfugga sheeit 🐒,1,African,0.06741385,-4.12e-05
179,u niggers r coonin for that kanye shit,1,African,0.20508423,1.85e-06
180,jew are in a hurry to kill all whites because the lord of the bible has promised them that once all whites are gone black people will work as slaves in their factories see what they convince blacks to do to white peoplein south africa,1,African,-0.08876673,-3.827e-05
181,<user> <user> shut up nigger,1,African,0.35986674,-7.4e-06
182,i would say that the majority of shitty whites that behave like that are living under a kike enforced degenerate rule that celebrates the nigger as the height of culture while demonizing natural folk beliefs and traditional views i would say they have had it forced on them,1,African,0.20325217,6.5e-06
183,chrisf206 chrisf206 <number> hours ago watch some episodes of cops and tell me blacks are being singled out for no reason ghetto blacks are fuck ups plain and simple ﻿,1,African,0.30594048,-5.1e-06
184,asshole nigger juan williams is on the five whining about media manipulating people for their vote in the modern era while seemingly forgetting his whole reason for being on fox is to try to manipulate people minds to get their votes for his commie partners fuck you juan,1,African,0.09142384,3.52e-05
185,well nigger loving whores like you have no shame,1,African,0.13919461,2.86e-06
186,just saw an obese negress wearing a shirt emblazoned with black is beautiful it is not imagine the reaction if i wore an it okay to be white shirt in public,1,African,0.6402297,-2.384e-05
187,quit being a dumb fucking nigger and go back to your harley davidson magazines,1,African,0.30187708,-2.29e-05
188,clearly the libtard ground wale found a nigger to screw her probably the only time in her life she ever got laid how do you fuck a fat woman leaf threw the folds of fat until you find one that smells like shit then turn back one,1,African,0.14219701,2.253e-05
189,go to any whole foods in a swipple neighborhood and watch the hillary and bernie supporters quietly avoid the lines with negro cashiers similarly there are not many leftists who seek out negro physicians and dentists when your health is on the line race realism trumps race quotas,1,African,0.030281797,4.23e-05
190,the really funny part is that if niggers did not read about the white museum lady on twitter the dumb niggers would never even know about it niggers go to the museum about half as often as they take a baff 🙄 🖕 🐒,1,African,0.10662365,4.244e-05
191,the way he sees it is that whites are evil he is at war with whites sall good he rich now nigger rich,1,African,0.15930483,1.62e-05
192,de nigger shagger been on my shitlist for a long long time,1,African,0.073431045,-1.34e-05
193,lofuckenl im not fucken with these niggers today ‼️ 😒,1,African,0.21719474,2.4e-05
194,impression your nigger your scrawny nigger again what a lesbian to keep yourself around for your nigger,1,African,0.36329144,5.9e-06
195,hey niglets when your jew team owners see you go down on your knees do not be surprised when you find out how small their pps are might want to suck your thumb for practice,1,African,0.1281475,1.65e-05
196,i do not mean to be rude but i hope you get sentenced to death by lethal injection and then it gets commuted to life in prison so that you can get assraped by blacks in prison every day for <number> years and then you die hail victory,1,African,0.29495683,3.165e-05
197,<user> <user> are yall niggas retarded,1,African,0.17983471,-2.85e-05
198,niggers are crazy,1,African,0.14473957,4.2e-06
199,be armed and avoid travel in cities we can never take the nigger out of the nigger chicago baltimore detroit should be no go zones and let them all kill each other hope the <percent> of good blacks move first,1,African,0.16148105,-3.36e-05
200,why do not you at least him if you want me to add him you low agency nigger,1,African,0.2557317,7.75e-06
201,nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women <user>,1,African,0.2223622,-2.754e-05
202,back on gab after another fucking coons age,1,African,0.3241826,6e-06
203,well obviously they must be a diverse group of morbidly obese transgendered persons some blacks hispanics some veiled muslims a few asians and a white girl i guess and they should replace the dallas cheerleaders,1,African,0.017881583,3.04e-05
204,negro his biological son there to take back his property i can not find any discrepancies between observed reality and this hypothetical situation,1,African,-0.36585432,1.59e-05
205,ricky vaughn avatar is a of a guy who banged pornstars who did <number> nigger deep gang bangs and sucked a dude cock in the 8 0 and got hiv sums up ricky vaughn pretty well,1,African,0.24246088,-6.14e-06
206,fla shooting please dear god let it be a white ginger who snapped from being abandoned and trapped in monkey and carrabian nigger hell,1,African,0.17625868,-1.55e-06
207,bitches be with african niggas talkin about “ with papi 🥰 ” nah bitch you with baba 😫 😭,1,African,1.197357,2.486e-05
208,the last true bastion of bipartisanship is criticizing the black muslim refugee congresswoman,1,African,0.70662445,-6.6e-06
209,you eva seent an ugly bich like a nigger i do not think so,1,African,0.0040711146,-2.46e-05
210,i expect niglets first then divorce bitch gonna get royal paid,1,African,0.13404745,-6.2e-06
211,i do not want to look like a snow nigger that easily prone to skin cancer anyway lay off the cake you <number> chinned jabba the hut fat fuxk,1,African,0.24802369,1.69e-05
212,remember how quiet every other pres has been after they left the use obongo because he is a nigger and they think white guilt will work obey obey you were taught in in schools gov and all media obey,1,African,0.20348646,-1.5e-05
213,y ’ all niggas is hoes,1,African,0.15401277,-6.2e-06
214,hate a boujie bitch i need ghetto vibes,1,African,-0.1665974,2.724e-05
215,getting angry at blacks is like getting angry at retards for being retarded,1,African,-0.28871256,5.734e-05
216,you can take a hoodrat out of the ghetto but you can not take the ghetto out of the hoodrat,1,African,0.17215902,-4.005e-05
217,why do you dumb soggy fucking retardeds always put jew shit you dense ninners,1,African,0.2555536,-1.305e-05
218,nothin <number> c here buncha coons lining up <number> free stuff,1,African,-0.20042725,1.353e-05
219,egyptians worshipped crocodile gods christians worship nigger gods,1,African,0.020596579,-2.486e-05
220,he said with a mouthful of nigger jew dick,1,African,0.38560104,3.6e-06
221,you negroes are really paying the portion of a light bill to watch jhene aiko murmur in c4 about situationships chile,1,African,0.46309432,-6e-08
222,we are white people stop being a nigger apologist,1,African,0.3244987,8.17e-06
223,i am sure there are some ghetto niggers here in the us that are full retard many can not even construct the simplest of sentences just nigger babble,1,African,0.12759914,8.94e-06
224,i wish i d wake up and read a nigger had shot bill kristol in the face does not even need to be a nigger doing it dreams,1,African,0.07740937,8.2e-06
225,<user> <user> an ignorant ashtep strikes again ashtep n an abnormally ashy negro who is pro black only when it benefits black men a conspiracy theorist who believes unvalidated claims and absolve black men of responsibility of plaguing the black community while blaming black women,1,African,-0.44029695,-1.46e-05
226,assmador can not go outside now that bad optics as for cantwell he probably got other things on his mind than what a sasquatch that pretends to be a nigger is doing,1,African,0.3454011,1.13e-05
227,let not forget the black vote <number> yrs they voted for crumbling inner city ghettos tainted water race riots white ignorant dependent government assistance opioids poor schools illegal 👽 no work they listened to out of state democrats yes fuck mcconnell and his gang soros bitch boys,1,African,0.029835276,1.335e-05
228,sorry about the nigger comment but even blacks do not like niggers,1,African,0.25724944,8.46e-06
229,fuck all you gay bitches that are gonna buy the codename elf bundle kys niggers,1,African,0.091888696,4e-07
230,we do not need anymore shit the shitskins can go live with their shitskin cousins,1,African,-0.056028455,-1.955e-05
231,the simple fact is the bowlcast is some great content logically it follows that followers will follow sorry that was nigger tier,1,African,0.09783176,1.556e-05
